,database,group,anno
3000005,CARD,antibiotic target alteration,3000005
3000010,CARD,antibiotic target alteration,3000010
3000013,CARD,antibiotic target alteration,3000013
3000024,CARD,antibiotic efflux,3000024
3000025,CARD,antibiotic efflux,3000025
3000026,CARD,antibiotic efflux,3000026
3000027,CARD,antibiotic efflux,3000027
3000074,CARD,antibiotic efflux,3000074
3000090,CARD,antibiotic inactivation,3000090
3000118,CARD,antibiotic target protection,3000118
3000124,CARD,antibiotic target replacement,3000124
3000149,CARD,antibiotic inactivation,3000149
3000165,CARD,antibiotic efflux,3000165
3000166,CARD,antibiotic efflux,3000166
3000167,CARD,antibiotic efflux,3000167
3000168,CARD,antibiotic efflux,3000168
3000173,CARD,antibiotic efflux,3000173
3000174,CARD,antibiotic efflux,3000174
3000175,CARD,antibiotic efflux,3000175
3000177,CARD,antibiotic efflux,3000177
3000178,CARD,antibiotic efflux,3000178
3000179,CARD,antibiotic efflux,3000179
3000180,CARD,antibiotic efflux,3000180
3000181,CARD,antibiotic efflux,3000181
3000182,CARD,antibiotic efflux,3000182
3000183,CARD,antibiotic efflux,3000183
3000186,CARD,antibiotic target protection,3000186
3000190,CARD,antibiotic target protection,3000190
3000191,CARD,antibiotic target protection,3000191
3000192,CARD,antibiotic target protection,3000192
3000193,CARD,antibiotic target protection,3000193
3000194,CARD,antibiotic target protection,3000194
3000195,CARD,antibiotic target protection,3000195
3000196,CARD,antibiotic target protection,3000196
3000197,CARD,antibiotic target protection,3000197
3000198,CARD,antibiotic inactivation,3000198
3000205,CARD,antibiotic inactivation,3000205
3000206,CARD,antibiotic efflux,3000206
3000215,CARD,antibiotic target replacement,3000215
3000216,CARD,antibiotic efflux,3000216
3000217,CARD,antibiotic inactivation,3000217
3000237,CARD,antibiotic efflux,3000237
3000245,CARD,antibiotic target protection,3000245
3000250,CARD,antibiotic target alteration,3000250
3000251,CARD,antibiotic target protection,3000251
3000254,CARD,antibiotic efflux,3000254
3000263,CARD,antibiotic efflux;reduced permeability to antibiotic,3000263
3000300,CARD,antibiotic target protection,3000300
3000318,CARD,antibiotic inactivation,3000318
3000319,CARD,antibiotic inactivation,3000319
3000326,CARD,antibiotic target alteration,3000326
3000343,CARD,antibiotic efflux,3000343
3000347,CARD,antibiotic target alteration,3000347
3000363,CARD,antibiotic inactivation,3000363
3000368,CARD,antibiotic target alteration,3000368
3000375,CARD,antibiotic target alteration,3000375
3000377,CARD,antibiotic efflux,3000377
3000378,CARD,antibiotic efflux,3000378
3000379,CARD,antibiotic efflux,3000379
3000380,CARD,antibiotic inactivation,3000380
3000391,CARD,antibiotic efflux,3000391
3000392,CARD,antibiotic target alteration,3000392
3000410,CARD,antibiotic target replacement,3000410
3000412,CARD,antibiotic target replacement,3000412
3000413,CARD,antibiotic target replacement,3000413
3000421,CARD,antibiotic efflux,3000421
3000423,CARD,antibiotic inactivation,3000423
3000444,CARD,antibiotic inactivation,3000444
3000448,CARD,antibiotic efflux,3000448
3000462,CARD,antibiotic inactivation,3000462
3000463,CARD,antibiotic inactivation,3000463
3000476,CARD,antibiotic efflux,3000476
3000478,CARD,antibiotic efflux,3000478
3000481,CARD,antibiotic efflux,3000481
3000491,CARD,antibiotic efflux,3000491
3000495,CARD,antibiotic target alteration,3000495
3000498,CARD,antibiotic target alteration,3000498
3000499,CARD,antibiotic efflux,3000499
3000501,CARD,antibiotic target alteration;antibiotic target replacement,3000501
3000502,CARD,antibiotic efflux,3000502
3000504,CARD,antibiotic efflux,3000504
3000508,CARD,antibiotic efflux,3000508
3000510,CARD,antibiotic target alteration,3000510
3000516,CARD,antibiotic efflux,3000516
3000518,CARD,antibiotic efflux,3000518
3000521,CARD,antibiotic target alteration,3000521
3000522,CARD,antibiotic target alteration,3000522
3000526,CARD,antibiotic efflux,3000526
3000533,CARD,antibiotic efflux,3000533
3000535,CARD,antibiotic efflux,3000535
3000549,CARD,antibiotic efflux,3000549
3000553,CARD,antibiotic efflux,3000553
3000556,CARD,antibiotic target protection,3000556
3000559,CARD,antibiotic efflux,3000559
3000561,CARD,antibiotic efflux,3000561
3000565,CARD,antibiotic efflux,3000565
3000566,CARD,antibiotic efflux,3000566
3000567,CARD,antibiotic efflux,3000567
3000569,CARD,antibiotic efflux,3000569
3000572,CARD,antibiotic efflux,3000572
3000573,CARD,antibiotic efflux,3000573
