KO	gene	gene_name	EC_name	pathway	superpathway
K00844	HK	hexokinase	EC:2.7.1.1	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00845	glk	glucokinase	EC:2.7.1.2	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01810	GPI	glucose-6-phosphate isomerase	EC:5.3.1.9	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K06859	pgi1	glucose-6-phosphate isomerase, archaeal	EC:5.3.1.9	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K13810	tal-pgi	transaldolase / glucose-6-phosphate isomerase	EC:2.2.1.2 5.3.1.9	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K15916	pgi-pmi	glucose/mannose-6-phosphate isomerase	EC:5.3.1.9 5.3.1.8	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00850	pfkA	6-phosphofructokinase 1	EC:2.7.1.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K16370	pfkB	6-phosphofructokinase 2	EC:2.7.1.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K21071	pfk	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase	EC:2.7.1.11 2.7.1.90	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00918	pfkC	ADP-dependent phosphofructokinase/glucokinase	EC:2.7.1.146 2.7.1.147	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K00895	pfp	diphosphate-dependent phosphofructokinase	EC:2.7.1.90	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K03841	FBP	fructose-1,6-bisphosphatase I	EC:3.1.3.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K02446	glpX	fructose-1,6-bisphosphatase II	EC:3.1.3.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K11532	glpX-SEBP	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01086	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K04041	fbp3	fructose-1,6-bisphosphatase III	EC:3.1.3.11	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01623	ALDO	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K11645	fbaB	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
K01624	FBA	fructose-bisphosphate aldolase, class II	EC:4.1.2.13	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
