"","domain","phylum","class","order","family","genus","species","strain"
"GUT_GENOME000147.fna","Bacteria","Firmicutes","Bacilli","Haloplasmatales","Turicibacteraceae","Turicibacter","Turicibacter sp001543345","Turicibacter sp001543345"
"GUT_GENOME000448.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-353","CAG-353 sp900066885","CAG-353 sp900066885"
"GUT_GENOME000459.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter","Unknown_Lawsonibacter","Lawsonibacter sp."
"GUT_GENOME001115.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_E","Faecalibacterium prausnitzii_E"
"GUT_GENOME001760.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_C","Faecalibacterium prausnitzii_C"
"GUT_GENOME005886.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","Unknown_CAG-95","CAG-95 sp."
"GUT_GENOME007858.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus sp900557435","Coprococcus sp900557435"
"GUT_GENOME007974.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp003516765","CAG-170 sp003516765"
"GUT_GENOME009542.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS1865","UMGS1865 sp900555785","UMGS1865 sp900555785"
"GUT_GENOME011129.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","CAG-475","CAG-475 sp900550915","CAG-475 sp900550915"
"GUT_GENOME011204.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","Unknown_CAG-460","CAG-460 sp."
"GUT_GENOME011719.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Duodenibacillus","Duodenibacillus sp900544335","Duodenibacillus sp900544335"
"GUT_GENOME011747.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-382","UMGS882","UMGS882 sp900546385","UMGS882 sp900546385"
"GUT_GENOME013505.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-127","CAG-127 sp900553925","CAG-127 sp900553925"
"GUT_GENOME014491.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Duodenibacillus","Unknown_Duodenibacillus","Duodenibacillus sp."
"GUT_GENOME014720.fna","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UMGS1585","UMGS1585 sp900553205","UMGS1585 sp900553205"
"GUT_GENOME014725.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-138","PeH17","PeH17 sp000435055","PeH17 sp000435055"
"GUT_GENOME014819.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-510","CAG-510 sp000434615","CAG-510 sp000434615"
"GUT_GENOME014977.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UMGS1826","UMGS1826 sp900555435","UMGS1826 sp900555435"
"GUT_GENOME018146.fna","Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium_A","Phascolarctobacterium_A succinatutens_A","Phascolarctobacterium_A succinatutens_A"
"GUT_GENOME018425.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-791","CAG-791 sp000431495","CAG-791 sp000431495"
"GUT_GENOME018576.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","RC9 sp000433355","RC9 sp000433355"
"GUT_GENOME019095.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002299635","Prevotella sp002299635"
"GUT_GENOME019335.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900546535","Prevotella sp900546535"
"GUT_GENOME019619.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","CAG-390","Unknown_CAG-390","CAG-390 sp."
"GUT_GENOME020571.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp002404795","CAG-170 sp002404795"
"GUT_GENOME022512.fna","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","UBA5920","Unknown_UBA5920","UBA5920 sp."
"GUT_GENOME022820.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","UMGS1470","Unknown_UMGS1470","UMGS1470 sp."
"GUT_GENOME023798.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotellamassilia","Prevotellamassilia sp900543155","Prevotellamassilia sp900543155"
"GUT_GENOME024079.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000436035","Prevotella sp000436035"
